,Title,Abstract,Owner,field,Key word,country,State,City,link of page
894,شبیه‌سازی طرح بازیابی آب و انرژی از بخار فلاش حاصل از خروجی آب استیم ایرهیتر در حالت نرمال و بازیابی بخار خروجی استارت آپ در زمان راه‌اندازی واحد,ارزیابی و شبیه‌سازی طرح بازیابی آب و انرژی از بخار فلاش حاصل از خروجی آب استیم ایرهیتر در حالت نرمال و بازیابی بخار خروجی استارت آپ در زمان راه‌اندازی واحد,شرکت توزیع برق استان لرستان,,['بازیابی آب و انرژی ، بخار فلاش ، آب استیم ایرهیتر'],ایران,لرستان,خرم آباد,https://nan.ac/ViewNeed/40137D4664B4CB65F109AB89609C8C6F
895,ارزیابی اقدامات انجام شده در ترمیم روسازی جاده ها,مدیریت و نگهداری راه ها یکی از مهم ترین ارکان در حفظ و نگهداری راه ها بشمار می رود، با توجه به نقش چشمگیر راه ها در توسعه زیر ساخت حمل و نقل و به تبع آن رشد و توسعه شهرها، استفاده و بهره گیری از فناوری های جدید به منظور ساخت، توسعه و یا نگهداری شبکه راه ها می تواند علاوه بر افزایش کیفیت خدمت دهی، کاهش هزینه های چرخه عمر را در پی داشته باشد. اتخاذ راهکارهای عملیاتی به منظور افزایش مقاومت روسازی بدون تغییر و یا تغییر جزیی در ضخامت روسازی- اصلاح آسیب دیدگی های سطحی شامل قیر زدگی، پدیده جدا شدن سنگ دانه ها از رویه آسفالتی، شیار افتادگی، ناهمواری ها و تغییر شکل ها - افزایش تاب لغزشی - اصلاح خواص فیزیکی و شیمیایی قیر سخت شده موجود روسازی با جوان سازها و انطباق آن با مشخصات قیر خالص و افزایش دوام رویه آسفالتی و بهبود تاب خستگی - کاهش آلودگی زیست محیطی - کاهش تولید ضایعات و مواد زاید و عدم نیاز به محل تخلیه برای این مواد و طرفه جویی در هزینه و انرژی و همچنین افزایش سرعت اجرای عملیات ترمیم و روسازی راه های در سطح استان را می توان از جمله مهمترین چالش های مطالعاتی حوزه عمرانی محسوب می گردد.,استانداری گیلان,فنی و مهندسی,['آسفالت، قیر، بازیافت سرد و گرم، ترمیم و نگهداری جاده ها، چرخه عمر شبکه راهها'],ایران,گیلان,رشت,https://nan.ac/ViewNeed/AE0847F771E630ED0858140F2003978B
896,تکنولوژی تولید چیپس خرما,باتوجه به بازاریابی صورت گرفته در دفتر آلمان این شرکت، پتانسیل کار برای افزودن محصولات جدید نظیر چیپس خرما وجود دارد. از طرفی ضایعات میزهای سورتینگ خرما قابلیت تبدیل شدن به چیپس خرما را دارند.لذا این شرکت به دنبال جذب فناوری و دانش تولید چیپس های خرما در ابعاد یکسان و با کیفیتی مطابق استاندارد های اروپا میباشد.,,"کشاورزی و منابع طبیعی, علوم بهداشت",,ایران,هرمزگان,,https://nan.ac/ViewNeed/CE0AE1C093DCD628091A07B2FAA775F8
897,بررسی علل سوختن تجهیزات و بردهای الکترونیکی در پست های فوق توزیع شبکه برق هرمزگان و ارایه راه کارهای عملی,*تعریف دقیق مسیله و تبیین ضرورت و اهمیت انجام تحقیق,شرکت مادر تخصصی مدیریت تولید، انتقال و توزیع نیروی برق ایران - توانیر,,['سوختن تجهیزات ، بردهای الکترونیکی ، پست های فوق توزیع شبکه برق ، هرمزگان'],ایران,هرمزگان,,https://nan.ac/ViewNeed/EE4592DC8AE0CECEA3F85CA39B69BBCF
898,طراحی تجهیز یا فرآیند پودر نمودن جلبک های دریایی تا ابعاد نانو در مقیاس صنعتی و با ساز و کار مکانیکی,با توجه به اینکه به منظور اثربخشی بهتر محصولات نیاز به تولید نانوپارتیکل در ابعاد خاصی از مواد اولیه وجود دارد، برای رفع این مساله نیاز به طراحی تجهیز و فرایند خاص وجود دارد.,,"علوم پایه, فنی و مهندسی",,ایران,هرمزگان,,https://nan.ac/ViewNeed/955B3C54D01C4DF80A8604E5E496A771
899,طراحی و ساخت داخل سامانه های گازیسازی کوچک با هدف تولید برق از منابع زیست توده با قابلیت کاربرد در مناطق روستایی و دور از شبکه با استفاده از منابع پسماند خانگی,روستاها یکی از مکان‌های مناسب برای استفاده بهینه از انرژی زیست توده هستند از آنجا که در اکثر روستاها نه تنها استفاده‌ای از پسماندها نمی‌شود بلکه دفع و دفن آنها با صرف هزینه‌های فراوان انجام می‌گیرد، لذا احداث واحدهای گازی سازی کوچک در این مناطق برای استفاده از پسماندهای خانگی که مقدار زیادی از آنها را پسماندهای آلی و فسادپذیر تشکیل می‌دهند دارای اهمیت می‌باشد. همچنین با ساخت و توسعه  این واحدها  علاوه بر حل معضل زباله‌ها و کاهش انتشار آلاینده‌های ‌محیط‌زیستی سهم بزرگی از نیاز مناطق روستایی به گاز طبیعی را مرتفع نمود. گاز حاصل می‌تواند برای پخت و پز، روشنایی، حرارت و تولید برق مورد استفاده قرار بگیرد.,سازمان انرژی های تجدیدپذیر و بهره وری انرژی برق (ساتبا),,['زیست توده، بیو انرژی'],ایران,مرکزی,ساوه,https://nan.ac/ViewNeed/3F5F2EB35FB5237C55D0E6FC08832A7A
900,کنترل رباتیک آفات و بیماری ها,"استفاده از ""بینایی رایانه‌ای""(computer vision) ، بینایی رایانه‌ای نوعی از فناوری هوش مصنوعی است که در سراسر دنیا  برای استفاده کشاورزان توسعه داده شده است و آنها می‌توانند توسط این فناوری راه حل‌هایی که به آنها در پرورش مواد غذایی کمک می‌کند دریابند.",سازمان جهادکشاورزی استان مازندران,,['آفات'],ایران,مازندران,ساری,https://nan.ac/ViewNeed/3AD5FCA0764687C6F4D16C2AA4D45202
901,نیاز به متخصصین  وتجهیزات در صنعتی کردن محصولات این شرکت(تولید نانوسلولز میکروبی) در زمینه پزشکی :پانسمانهای ویزه بارهایش آنتی بیوتیک در بیماریهای دیابت و زخم بستر ونخ جراحی همچنین در لوازم آرایشی,,شرکت پویا سلولز گستر مهتاب خراسان جنوبی,"علوم پایه, فنی و مهندسی, مهندسی پزشکی",,ایران,خراسان جنوبی,بیرجند,https://nan.ac/ViewNeed/6C588859C0C05A18746308393C7FA529
902,نوآوری در تجهیزات برای پالایش و مصرف پسماندهای شهری و صنعتی در کوره های صنایع سیمان,استفاده از پسماندهای شهری و صنعتی به عنوان سوخت جایگزین در کوره های ساخت سیمان سبب کاهش آلایندگی های محیط زیستی و همچنین کاهش هزینه ها خواهد شد.,پارک علم و فناوری همدان,فنی و مهندسی,['سیمان هگمتان، سیمان، پالایش، پسماند صنعتی'],ایران,همدان,همدان,https://nan.ac/ViewNeed/D01845AE1EECC45A5056D37EDD529DE8
903,دسته بندی رخساره ها و تخمین تراوایی مخازن کربناته با استفاده از تلفیق روش های داده-محور و مدل-پایه (مطالعه موردی در یکی از میادین جنوب غرب ایران),این تقاضا  توسط وزارت نفت ارائه گردیده است.,شرکت ملی مناطق نفت خيز جنوب,مهندسی شیمی,,ایران,تهران,تهران,https://nan.ac/ViewNeed/8FD7FA3E2C5FCBB9DBB7B6839B5E06D2
904,ارزیابی اثرات پروژه­های آبخیزداری بر شاخص­­های اقتصادی اجتماعی حوزه­های آبخیز,1- تعیین شاخص¬های اقتصادی اجتماعی قابل اندازه¬گیری تحت تاثیر پروژه¬های آبخیزداری,اداره کل منابع طبیعی و آبخیزداری استان اصفهان,,['پروژه\xadهای آبخیزداری،شاخص\xad\xadهای اقتصادی اجتماعی حوزه\xadهای آبخیز،'],ایران,اصفهان,اصفهان,https://nan.ac/ViewNeed/0414145D10389F12240A2C406E95D926
905,کاربرد مصاحبه انگیزشی در مداخلات کوتاه مدت مراکز اورژانس اجتماعی,1- آشنایی  با مصاحبه انگیزشی، تکنیک ها و فنون آن و بکارگیری آن بعنوان ابزاری در جهت افزایش و تقویت انگیزه درونی مراجعین و کسب مهارت کارشناسان در این رابطه,اداره کل بهزیستی اصفهان,,['مصاحبه انگیزشی،مداخلات کوتاه مدت،تقویت انگیزه درونی ،اورژانس اجتماعی'],ایران,اصفهان,اصفهان,https://nan.ac/ViewNeed/DCCC0D2B223427CA2BE326F0F27E43D2
906,طراحی و تدوین یک سیستم جامع جهت تحلیل آماری اطلاعات امور دیسپاچینگ,*تعریف دقیق مسیله و تبیین ضرورت و اهمیت انجام تحقیق,شرکت مادر تخصصی مدیریت تولید، انتقال و توزیع نیروی برق ایران - توانیر,,['تحلیل آماری اطلاعات امور دیسپاچینگ'],ایران,هرمزگان,,https://nan.ac/ViewNeed/2FF2A8CE73C375E6B427CB46F0DACF59
907,طراحي و ساخت موتورهاي كم مصرف براي خودروهاي سبك,,شركت ملي پالايش و پخش فرآورده‌هاي نفتي ايران,"علوم پایه, فنی و مهندسی, مهندسی صنایع",,ایران,تهران,تهران,https://nan.ac/ViewNeed/3F5CD3AF194C9B14A089EF9F7D5A3752
908,پاکسازی سایت صنعتی کارخانه احیا,پاکسازی سایت صنعتی کارخانه احیاء معمولا بسیار هزینه بر می باشد با استفاده از فناوری نوین و مکنده های ثابت و سیار میتوان ضمن کاهش هزینه ها روند پاکسازی را نیز سرعت بخشید,پارک علم و فناوری خوزستان,فنی و مهندسی,['سایت احیا، مکنده های ثابت و سیار'],ایران,خوزستان,شادگان,https://nan.ac/ViewNeed/03B6E6464A785155180B78B912467544
909,تعیین میزان حجم جریانهای پایه و جریانهای سیلابی در رودخانه های منتخب استان و تعیین روند تغییرات آن در سالهای اخیر,*عنوان مشکل کلیدی قابل حل توسط پروژه,شرکت سهامی آب منطقه ای آذربایجان شرقی,,['جریانهای پایه ، جریانهای سیلابی ،  رودخانه ها'],ایران,آذربایجان شرقی,تبریز,https://nan.ac/ViewNeed/D9F551436F088586C8A4EE8B834D6642
910,دانش فنی تولید پلیمر های هوشمند,این واحد صنعتی به منظور ایجاد طرح توسعه و به روز رسانی دانش فنی و تولید محصولات جدید مطابق با نیاز روز کشور ، نیازمند دانش فنی تولید پلیمر های هوشمند می باشد .,توسعه صنعت شریف,"علوم پایه, مهندسی مواد, شیمی معدنی",,ایران,البرز,,https://nan.ac/ViewNeed/2E99C190069F0C2843C0601DFE12ECFD
911,بررسی افزایش تاب آوری سیستم های تامین ، آبرسانی و بهره برداری از منابع و تاسیسات آبی استان با رویکرد پدافند غیرعامل,*عنوان مشکل کلیدی قابل حل توسط پروژه,شرکت سهامی آب منطقه ای آذربایجان شرقی,,['تاب آوری سیستم های تامین ، آبرسانی، بهره برداری از منابع ، تاسیسات آبی، پدافند غیرعامل'],ایران,آذربایجان شرقی,تبریز,https://nan.ac/ViewNeed/C80D2C1825CBC1D90A1727C67C313446
912,بررسی تهدیدات و روند تغییرات کیفیت آب رودخانه اترک در گلستان,*عنوان مشکل کلیدی قابل حل توسط پروژه,شرکت آب منطقه ای گلستان,,['کیفیت آب رودخانه اترک ، گلستان ، حوضه آبریز بالادست'],ایران,گلستان,,https://nan.ac/ViewNeed/615B0EE390F55EC71024BAAD79A2F907
913,ترسیم اکوسیستم توسعه بخش خدمات استان زنجان,	براساس آمارهای منتشره حوزه بازار کار در استان زنجان انباشت نیرو ( با درآمد کم و بهره وری پایین ) در حوزه کشاورزی مشهود می باشد. به نحوی که سهم بخش کشاورزی در کل کشور از کل شاغلین 16.3 بوده و این روند در استان زنجان 27.4 میباشد این به معنای تراکم نیرو در بخش کشاورزی و فشار به منابع آب، محیط زیست و از سویی و درآمد پایین از سوی دیگر می باشد.,اداره کل تعاون، کار و رفاه اجتماعی استان زنجان,علوم انسانی,['اکوسیستم،  بخش خدمات، زنجیره ارزش، استان زنجان'],ایران,زنجان,زنجان,https://nan.ac/ViewNeed/87C757676DB123FADB2A65DA0E72E06C
914,"سیستم مانیتورینگ انلاین از راه دور با امکان رصد سطح ولتاژ برق dc , ac","سیستم مانیتورینگ انلاین از راه دور با امکان رصد سطح ولتاژ برق dc , ac",,,['سیستم مانیتورینگ انلاین.ولتاژ'],ایران,لرستان,,https://nan.ac/ViewNeed/74D41568D9C09542F569EFE93E1D8A1F
915,جلبک زدگی استخرها,ایجاد جلبک در استخرهای پرورش ماهی باعث کاهش اکسیژن و بالا رفتن ph آب  و بروز تلفات می گردد,مرکز تحقیقات و آموزش کشاورزی و منابع طبیعی خراسان شمالی,,['جلبک زدگی'],ایران,خراسان شمالی,بجنورد,https://nan.ac/ViewNeed/E3718C9F19E244AD845E6C788481F3EF
916,ارایه راهکارهای مناسب(فنی- اقتصادی) جهت توسعه گردشگری آبی,*عنوان مشکل کلیدی قابل حل توسط پروژه,شرکت سهامی آب منطقه‌ای یزد,,['جهت توسعه گردشگری آبی'],ایران,یزد,,https://nan.ac/ViewNeed/4C4C6FB77C5A95284ED2D02C9E15BBA4
917,مجهز کردن پایانه های راه دور به اینترفیس پایش و مهندسیHMI Software  for RTU,*تعریف دقیق مسیله و تبیین ضرورت و اهمیت انجام تحقیق,شرکت مادر تخصصی مدیریت تولید، انتقال و توزیع نیروی برق ایران - توانیر,,['پایانه های راه دور ، اینترفیس ، پایش و مهندسی، HMI Software  for RTU'],ایران,تهران,,https://nan.ac/ViewNeed/E28A89FA4110713EB09E2367F0DD9937
918,"تجهيزات كنترل و مانيتورينگ شبكه قدرت الكتريكي (PMS, ENCMS)",,شركت خطوط لوله و مخابرات نفت ايران,"علوم پایه, فنی و مهندسی, مهندسی برق",,ایران,تهران,تهران,https://nan.ac/ViewNeed/00201FF71B3A47907BCA8962A763305B
919,فرآوری مس و تولید انواع محصولات حاصل از آن,مسیله و مشکل: میزان ذخایر مس در ایران هم اکنون حدود 43 میلیون تن می رسد. تکنولوژی مورد نیاز جهت بهره برداری مس در کشور در مقایسه با دیگر کشورهای فعال در این زمینه در سطح پایین تری قرار دارد که این امر منجر به هزینه های بالاتر استحصال از معادن می گردد. در حال حاضر فراوده حاصل از استخراج معادن به صورت خام به کشور های دیگر صادر می شود و مواد با ارزش اقتصادی حاصل از مس جهت تامین مواد اولیه صنایع کشور از جمله صنایع الکترونیک و فولادی، واردات می شود. کاتدهای مس به عنوان مواد خام اولیه برای تولید محصولات آلیاژی و با ارزش اقتصادی استفاده می­ شود که این محصول به صورت خام به کشورهای دیگر صادر می شود. از کاتدهای مسی برای ساخت آلیاژهایی مانند برنج ، برنز و فولاد آلیاژی استفاده می شود و علاوه براینکه در صنایع سیم، کابل و ترانسفورماتور کاربرد وسیعی دارد، در حمل و نقل ، وسایل برقی و ماشین آلات، تجهیزات دفاعی و ساخت و ساز به مصرف می رسد. فناوری درخواستی: برخی از نیازهای در حوزه معادن مس و شرکت های وابسته به این ماده به شرح زیر می باشند: فرآوری مس از باطله های معادن مس پر عیار سازی سنگ معدن مس از بین بردن مشکلات زیست محیطی ناشی از استخراج مس بهره برداری از معادن مس تولید انواع آلیاژ های حاصل از مس و...,,"علوم پایه, مهندسی مواد, شکل دادن فلزات",,ایران,,,https://nan.ac/ViewNeed/BE1E8E2465BC5688AA27091B8F4658A4
920,فناوري‌هاي نوين مشعل  بر مبناي فناوري LOW-NOx و بدون شعله به منظور افزايش راندمان احتراق  و كاهش آلايندگي  در كوره­هاي  فرآيندي,,شركت بهينه‌سازي مصرف سوخت كشور,"علوم پایه, مهندسی محیط زیست",,ایران,تهران,تهران,https://nan.ac/ViewNeed/ADBFFB18C8E33B3ACC5B5CC4D722E31E
921,تامین انرژی صنایع از انرژی های نو,ا افزایش مصرف روز افزون سوخت های فسیلی، تعادل میان تولید و مصرف آن از بین رفته و در آینده ای نه چندان دور شاهد اتمام این منابع خواهیم بود.انرژی نو و تجدید پذیر به عنوان تکنولوژی جایگزین برای سوخت های فسیلی محسوب می شود.,اداره محیط زیست سازمان منطقه آزاد قشم,,['انرژی نو'],ایران,هرمزگان,قشم,https://nan.ac/ViewNeed/916E3BB0C58D1597B3E49CD877618524
922,نرم افزار موبایلی برچسب انرژی ساختمان,در کشور ما، مصرف انرژی در بخش ساختمان بسیار زیاد بوده، بطوریکه طبق آمار و ارقام این بخش حدود 40 درصد از مصرف کل انرژی را شامل می شود.,پارک علم و فناوری گلستان,فنی و مهندسی,"['انرژی و بهینه سازی', 'مصرف انرژی']",ایران,گلستان,گرگان,https://nan.ac/ViewNeed/137DBA6C11172E2A8E58A4AFFCA5A237
923,تجهيزات  RSS(در قالب اخذ خدمات),,شركت نفت فلات قاره ايران,"علوم پایه, علوم کامپیوتر",,ایران,تهران,تهران,https://nan.ac/ViewNeed/0E424041427FDFD342D3CBDFAF54994C
924,ماژول UTM,تا کنون توضیحاتی در مورد این نیاز توسط پارک علم و فناوری گلستان به دبیرخانه نان ارائه نشده است,تعاون کار و رفاه اجتماعی,سیستم های اطلاعاتی و فناوری اطلاعات,,ایران,گلستان,گرگان,https://nan.ac/ViewNeed/10902D3F99E0FF2A4BCD4998CD9A16B4
925,حذف فلزات سنگین از شیرابه حاصل از پسماندها در سایت های زباله استان,تا کنون توضیحاتی در مورد این نیاز توسط پارک علم و فناوری گلستان به دبیرخانه نان ارائه نشده است,اداره کل حفاظت محیط زیست استان گلستان,روابط عمومی و امور بین الملل,,ایران,گلستان,گرگان,https://nan.ac/ViewNeed/5615F365A20025D2B30F89FA06B59FB3
926,تاثیر رفتار مالی و خودکنترلی بر بهبود تصمیم گیری های سرمایه گذاری در اداره کل بنادر و دریانوردی استان خوزستان بندرامام خمینی (ره),هدف اصلی:,سازمان بنادر و دریانوردی,علوم انسانی,,ایران,تهران,تهران,https://nan.ac/ViewNeed/C972331931C22409E01681A0CEBE40C1
927,بررسی سواد رسانه ای جوانان استان همدان: وضعیت، چالش ها و راهکارها,آموزش سواد رسانه ای به شهروندان در عصر جهانی شدن، مفهومی کلی است که به مطالعات رسانه ای، فرهنگی، اجتماعی، تاریخی، سیاسی و تکنولوژیکی وابسته است. سـواد رسـانه ای بـه عنـوان ابزاری برای حمایت شهروندان در برابر آثار منفی رسانه های جمعی است؛ که چارچوبی را جهت دسترسـی، تحلیـل، ارزیـابی و خلـق پیام ها به اشکال مختلف از چاپ گرفته تا اینترنت، فراهم می نماید. از آن جا که اغلب جوانان در مواجه با پیام های رسانه ها و گوناگونی و تضاد بین آن ها، دچار سردرگمی شده و گاه در تشخیص آن چه که با هویت و فرهنگ او و بایدها و نبایدهای جامعه او تطابق داشته باشد به چالش افتاده و حتی بر اثر ناآگاهی درگیر نبایدها می شوند، بایستی فهمید که جوانان استان همدان از چه میزان سواد رسانه ای برخوردار هستند تا بتوان بر پایه نتایج حاصله، از آن به عنوان ابزاری برای کارگزاران رسانه ای استان، جهت برنامه ریزی بهتر در راستای مرتفع نمودن نیازهای مرتبط با سواد رسانه ای آنان به کار گرفته شود.,اداره کل ورزش و جوانان استان همدان,علوم انسانی,['سواد رسانه ای -  جوانان -  استان همدان'],ایران,همدان,همدان,https://nan.ac/ViewNeed/07AD6CE346536D9D36B83AC22038DF5B
928,ارایه و بررسی روشهای  نوین علاج بخشی و بهبود کیفیت در دریاچه سدهای مبتلا به تغذیه گرایی (متناسب با وضعیت کیفی دریاچه سد مورد مطالعه),*عنوان مشکل کلیدی قابل حل توسط پروژه,شرکت آب منطقه ای کردستان,,['دریاچه سد ،  تغذیه گرایی'],ایران,کردستان,,https://nan.ac/ViewNeed/43850750B798A8AC5239B253DA577A6F
929,تولید مقاطع بزرگتر از 500mm فولادهای پر کربن_پر کروم لدبوریتی بدون ایجاد ترک سطحی و عیوب داخلی,باتوجه به حضور مقدار زیاد عناصر آلیاژی نظیر کروم و کربن در ترکیب شیمیایی این گرید های فولادی و جدایش این عناصر در شمش اولیه،تشکیل کاربیدهای درشت در قسمت میانی شمش بسیار محتمل بوده و این امر،علاوه بر ایجاد ناهمگنی در ساختار شمش و نهایتا محصول تولیدی باعث می شود در حین آهنگری ترک ها و عیوب داخلی زیادی در میلگرد حاصله ایجاد گردد.,مجتمع فولاد اسفراین,"علوم پایه, فنی و مهندسی",['فولادهای پرکربن'],ایران,خراسان شمالی,اسفراین,https://nan.ac/ViewNeed/49E5B070A6E51447A25BBB292E425EF3
930,ارزیابی گونه های موجود و معرفی گونه های مناسب برای نگهداری و توسعه پارک ها و طرح های جنگل کاری اقتصادی در زون های اقلیمی استان خراسان رضوی,خالصه پروژه:,منابع طبیعی استان خراسان رضوی,,['جنگل کاری پارک ها ،زون های اقلیمی'],ایران,خراسان رضوی,مشهد,https://nan.ac/ViewNeed/B9CFA8A5D061E69F825B32595962EE87
931,طراحی و ساخت دستگاه فرز سی ان سی,شرکت به دستگاه فرز سی ان سی 4 محور مخصوص فوم و چوب نیازمند هست,شرکت سروستان صنعت ایده,,['طراحی، دستگاه فرز'],ایران,تهران,تهران,https://nan.ac/ViewNeed/9F62866B33698831D41C4E64C727B66A
932,ابزارهاي برداشت نمودارهاي تصويرگر سازند,,شركت ملي مناطق نفت‌خيز جنوب,"علوم پایه, مهندسی نفت",,ایران,خوزستان,اهواز,https://nan.ac/ViewNeed/8749E0AD335F8E1409DDB4F35DE08927
933,بررسی تطبیقی، شناسایی و امکان سنجی ظرفیت های بخش خصوصی در ایجاد بازداشتگاه های موقت,بررسی تطبیقی، شناسایی و امکان سنجی ظرفیت های بخش خصوصی در ایجاد بازداشتگاه های موقت,مرکز آموزش و پژوهش منطقه 8,"فنی و مهندسی, پدافند غیرعامل, مهندسی عمران, سازه, مهندسی و مدیریت ساخت, طراحی",['تطبیقی-شناسایی-امکان سنجی-بخش خصوصی-بازداشتگاه موقت'],ایران,اصفهان,اصفهان,https://nan.ac/ViewNeed/F0F118EE3E720A5CE2B92D9BFE4F76B6
934,تاثیر استفاده گسترده از هادی های روکش دار هوایی بر پارامترهای کیفیت توان الکتریکی شبکه های توزیع,*تعریف دقیق مسیله و تبیین ضرورت و اهمیت انجام تحقیق,شرکت مادر تخصصی مدیریت تولید، انتقال و توزیع نیروی برق ایران - توانیر,,['هادی های روکش دار هوایی ، پارامترهای کیفیت، توان الکتریکی، شبکه های توزیع'],ایران,خراسان رضوی,,https://nan.ac/ViewNeed/91F7962A47526382F3E1A7EC153D5603
935,طراحی مدارات محافظ ورودی-خروجی در بردهای آسانسور,بردهای الکترونیکی تعبیه شده در تابلو فرمان آسانسور با ولتاژ خاصی کار می کنند. لازم است در هنگام نصب و راه اندازی توجه ویژه ای به ولتاژهای اعمال شده صورت پذیرد. در صورت عدم رعایت این مسئله و بروز خطای احتمالی در میزان ولتاژ اعمالی، برد فرمان آسیب میبیند و تبعاتی همچون اتلاف وقت و افزایش هزینه را در بر خواهد داشت. به منظور کاهش احتمال خطا و حفاظت از بردهای الکترونیکی لازم است در تغییراتی در طراحی بردها صورت پذیرد.,شرکت خدمات نو آوری بومرنگ,"علوم پایه, فنی و مهندسی, مهندسی برق",,ایران,تهران,,https://nan.ac/ViewNeed/90E9D0BC1B0431C0DD123819636CACCC
936,پمپ ترمز و گیربکس های بالابر جرثقیل 60 و 100 تن,کیج کامل ترمزکفشکی باالبر جرثقیلهای 60 و 100 تن) شامل هیدرو,گروه ملی صنایع فولاد,,['پمپ ترمز بالابر، گیربکس بالابر'],,خوزستان,اهواز,https://nan.ac/ViewNeed/A709361D0E52221E37B3AC9C89B132E9
937,نرم افزارها و اپلیکیشن های شهری,طراحی اپلیکیشن‌ شهرداری و طراحی سایت شهرداری، طراح اپلیکیشن باید به گونه‌ای باشد تا نیازهای شهروندان (هرگونه نیازی که مربوط به مسائل شهری می‌شود) را پوشش دهد و دارای طیف وسیعی از خدمات باشد,فرمانداری نوشهر,,['نرم افزار'],ایران,مازندران,ساری,https://nan.ac/ViewNeed/8B00501E8948D668E476899ED834A67D
938,مطالعه/پژوهش و بررسی تولید کود مایع از پساب تصفیه خانه های آب و فاضلاب,*عنوان مشکل کلیدی قابل حل توسط پروژه,شرکت آب و فاضلاب استان تهران,,['تصفیه آب و فاضلاب، پساب و لجن ،تولید کود مایع'],ایران,تهران,,https://nan.ac/ViewNeed/7679B24C21BDA4C042DA54FCF06B226D
939,طراحی سامانه و شبکه مدیریت و توزیع هوشمند محصولات زراعی و باغی (مورد نیاز سازمان جهاد کشاورزی استان کهگیلویه و بویراحمد),وجود دلالان و واسطه ها و فقدان بازاریابی مطلوب و متعاقب آن عدم شبکه توزیع هوشمند محصولات زراعی و باغی باعث افزایش حجم ضایعات و ازدیاد خسران و آسیب جدی تولید کنندگان گردیده است. لذا طراحی سامانه و شبکه مدیریت و توزیع هوشمند محصولات زراعی و باغی، مورد نیاز سازمان جهاد کشاورزی استان کهگیلویه و بویراحمد است.,پارک علم و فناوری استان کهگیلویه و بویراحمد,"فنی و مهندسی, کشاورزی و منابع طبیعی, اقتصاد کشاورزی, ترویج و آموزش کشاورزی, علوم و فناوری شبکه, مدیریت حاصل خیزی و زیست فناوری خاک, مدیریت کشاورزی, مهندسی فناوری اطلاعات, مهندسی مکانیزاسیون کشاورزی, مهندسی کامپیوتر",['سامانه و شبکه مدیریت و توزیع هوشمند، محصولات زراعی و باغی، سازمان جهاد کشاورزی استان کهگیلویه و بویراحمد'],ایران,کهگیلویه وبویراحمد,یاسوج,https://nan.ac/ViewNeed/73DC24A52202E75F5946A53DD44BECC4
940,عدم شناخت میزان ریسک سرمایه گذاری در استان گیلان و راهکارهای کاهش آن,علاوه بر عوامل موثر بر ریسک سرمایه گذاری در کشور مانند تورم، نرخ ارز، مالیات، عوارض گمرکی و ... ریسک سرمایه گذاری در هر منطقه به عوامل متعدد دیگر نیز بستگی دارد.عواملی همچون زیر ساخت ها، بروکراسی اداری، دسترسی به منابع مالی و ... که در فضای حاکم بر استان می تواند مورد بررسی قرار گیرد.این تحقیق به بررسی عوامل تاثیر گذار بر ریسک سرمایه گذاری صنعتی در استان گیلان می پردازد.,اداره کل صنعت، معدن و تجارت استان گیلان,علوم انسانی,['رسک سرمایه گذاری در گیلان ، راهکار کاهش ریسک'],ایران,گیلان,رشت,https://nan.ac/ViewNeed/55BFB45EBADF6E3941B38511AA509A43
941,جلوگیری از خوردگی اسیدی فن های هوائی توسط بخار,جلوگیری از خوردگی اسیدی فن های هوائی توسط بخار,شرکت پالایش گاز فجر جم,"علوم پایه, مهندسی نفت",,ایران,بوشهر,جم,https://nan.ac/ViewNeed/30F066D74F757F6688CD8FA54DD7215F
942,پاوریونیت,دستگاه هیدرولیکی تامین کننده نیروهای لازم برای باز وبست دریچه ها,شرکت آب منطقه ای آذربایجان غربی,,['پاوریونیت'],ایران,آذربایجان غربی,ارومیه,https://nan.ac/ViewNeed/797640DE91D61A2697BAC434A67F4D83
943,استحصال روغن ماهی از آب میان یافتی پخت اولیه صنعت کنسروماهی,استحصال روغن ماهی از آب میان یافتی پخت اولیه صنعت کنسروماهی,,"کشاورزی و منابع طبیعی, علوم بهداشت",,ایران,بوشهر,,https://nan.ac/ViewNeed/7AE8AF7B27C8DD93D14B025231FA396F
944,پوشش رنگ نانو ضد پوسیدگی,شناسایی و مستندسازی نیاز فناورانه,گروه مشاوران بین المللی الوند ایرانیان آرتا,"علوم پایه, فنی و مهندسی",,ایران,فارس,,https://nan.ac/ViewNeed/99A3A1DB72D6F59F1914E2A987E1AAB4
945,امور پیمانکاران,تا کنون توضیحات بیشتر این نیاز توسط پارک علم و فناوری کردستان به دبیرخانه نان ارائه نشده است,شهرداری مرکزی سنندج,"علوم پایه, فنی و مهندسی, سازه",,ایران,کردستان,سنندج,https://nan.ac/ViewNeed/DBC9332C49E226A59AF6DFE98F4800FB
946,شیرهای کنترل,,شرکت ملی مهندسی و ساختمان نفت ایران,"علوم پایه, فنی و مهندسی, مهندسی مکانیک",,ایران,تهران,تهران,https://nan.ac/ViewNeed/658A7694933DAD9A6C48CC749E4D77C0
