,Title,Abstract,Owner,field,Key word,country,State,City,Target group
50,پذیرش (اقبال) سیاست های جوانی جمعیت در عمل,فرزندآوری پدیده مهمی در حرکات جمعیتی و محور توسعه پایدار برای کشورهای در حال توسعه می باشد. توجه به ضرورت موضوع فرزندآوری و خلاء مطالعات استانی در این خصوص، نیازمند  تحقیقاتی در خصوص میزان تمایل به فرزندآوری و عوامل مرتبط با آن را در میان مردم استان می طلبد.,استانداری گیلان,علوم انسانی,['سیاستهای جوانی جمعیت،  فرزندآوری، جمعیت،ناباروری'],ایران,گیلان,رشت,
51,طراحی و ساخت دستگاه شناسایی گرفتگی لوله‌های سقوط و میزان بذر مخزن در خطی‌کارها (نیاز),در فرآیند کاشت به وسیله خطی کارها، به دلیل مشکلاتی نظیر خرابی های مکانیسم توزیع بذر، گرفتگی لوله های بذر، خالی شدن محفظه بذر و غیره عدم کاشت بذرها می تواند به طور گسترده اتفاق بیافتد. دستگاه شناسایی گرفتگی لوله‌های سقوط خطی کار و میزان بذر مخزن با کمک حسگرها، با نشان دادن وضعیت کاری قسمت های مختلف خطی کار، بازده عملیات کاشت را تا حد مطلوبی بهبود می دهد.,مرکز تحقیقات و آموزش کشاورزی و منابع طبیعی خوزستان,,['ماشین آلات کشاورزی'],,خوزستان,اهواز,
52,ارزیابی اقدامات انجام شده در ترمیم روسازی جاده ها,مدیریت و نگهداری راه ها یکی از مهم ترین ارکان در حفظ و نگهداری راه ها بشمار می رود، با توجه به نقش چشمگیر راه ها در توسعه زیر ساخت حمل و نقل و به تبع آن رشد و توسعه شهرها، استفاده و بهره گیری از فناوری های جدید به منظور ساخت، توسعه و یا نگهداری شبکه راه ها می تواند علاوه بر افزایش کیفیت خدمت دهی، کاهش هزینه های چرخه عمر را در پی داشته باشد. اتخاذ راهکارهای عملیاتی به منظور افزایش مقاومت روسازی بدون تغییر و یا تغییر جزیی در ضخامت روسازی- اصلاح آسیب دیدگی های سطحی شامل قیر زدگی، پدیده جدا شدن سنگ دانه ها از رویه آسفالتی، شیار افتادگی، ناهمواری ها و تغییر شکل ها - افزایش تاب لغزشی - اصلاح خواص فیزیکی و شیمیایی قیر سخت شده موجود روسازی با جوان سازها و انطباق آن با مشخصات قیر خالص و افزایش دوام رویه آسفالتی و بهبود تاب خستگی - کاهش آلودگی زیست محیطی - کاهش تولید ضایعات و مواد زاید و عدم نیاز به محل تخلیه برای این مواد و طرفه جویی در هزینه و انرژی و همچنین افزایش سرعت اجرای عملیات ترمیم و روسازی راه های در سطح استان را می توان از جمله مهمترین چالش های مطالعاتی حوزه عمرانی محسوب می گردد.,استانداری گیلان,فنی و مهندسی,['آسفالت، قیر، بازیافت سرد و گرم، ترمیم و نگهداری جاده ها، چرخه عمر شبکه راهها'],ایران,گیلان,رشت,
53,رگولاتور اکسیژن,جهت کنترل گاز اکسیژن برای برش اتومات شمش در ریخته گری,گروه ملی صنایع فولاد,,['رگولاتور اکسیژن'],,خوزستان,اهواز,گروه/های هدف:
54,تولید روغن کم جذب,تولید روغن کم جذب,پارک علم و فناوری استان مرکزی,فنی و مهندسی,['روغن، جذب'],ایران,مرکزی,اراک,
55,Digitric,ین کنترل کننده جهت کنترل دما و فشار کوره ها از طریق کنترل فشار و فلوی هوا و گاز به کار می رود,گروه ملی صنایع فولاد,,['Digitric'],,خوزستان,اهواز,گروه/های هدف:
56,مفصل دورانی جهت پاتیل کش کایرو,محصول وارداتی است,پارک علم و فناوری خوزستان,فنی و مهندسی,['مفصل دورانی، پاتیل کش کایرو'],ایران,خوزستان,اهواز,
57,افزایش و بهبود ماندگاری نان,تعیین روش و یا ساخت تچهیزاتی برای بهبود ماندگاری نان,پارک علم و فناوری استان مرکزی,کشاورزی و منابع طبیعی,['نان، ماندگاری'],ایران,مرکزی,اراک,
58,شناسایی و اولویت بندی کانون های گردوخاک در سطح استان تهران و کانون های برون مرزی موثر بر شهرهای استان,در این طرح نخست با استفاده از داده های کد هوای حاضر ایستگاههای هواشناسی واقع در استان تهران شاخص توفانهای گردوخاک SDS تعیین شده و الگوی تغییرات زمانی و مکانی وقوع رخداد گردوخاک در سطح استان مشخص می گردد. به منظور تعیین شدت پدیده های گردوخاک در سطح استان نیز از داده های دید افقی ایستگاههای هواشناسی در زمان وقوع رخدادهای گردخاک و همچنین دادههای غلظت PM10 ایستگاههای پایش آلودگی هوای تهران استفاده می شود. پس ازتعیین مناطقی از استان تهران که بیشتر تحت تاثیر پدیده های گردوخاک بوده و با توجه به شبکه سنجش آلودگی هوای موجود، مکان یابی مناطق مورد نیاز جهت توسعه ایستگاه پایش گردوخاک در سطح استان انجام می شود. سپس میزان شارگردوخاک از استان تهران و مناطق اطراف آن محاسبه شده و مناطق کانون گردوخاک و شدت و زمان فعالیت آنها به صورت کمّی تعیین میگردد. مقادیر آستانه سرعت باد برای فعالسازی هر کانون به منظور پیش بینی فعالیت آن در آینده نیز تعیین می شود. در نهایت با استفاده از میزان و شدت فعالیت هر کانون و مناطق تحت تاثیر آن، نسبت به اولویت بندی کانونهای گردوخاک موثر بر استان تهران اقدام می شود.,اداره کل هواشناسی استان تهران,"علوم پایه, هواشناسی",['گردوخاک، کانون، برون مرزی، آلودگی هوا'],ایران,تهران,تهران,
59,"کفشک زیرین کشاب های بوم ریچ استاکر (پارت:2910.949003),",محصول وارداتی است.,پارک علم و فناوری خوزستان,فنی و مهندسی,['کفشک زیرین، بوم ریچ استاکر'],ایران,خوزستان,اهواز,
60,بررسی ظرفیت های مناطق حاشیه نشین شهرهای بزرگ استان گیلان راستای توانمندسازی آنان,حاشیه نشینی، پدیده ای فراگیر است که وجه کالبدی آن به سبب بروز بیرونی اش ملموس تر و به همین سبب برای بسیاری قابل درک تر است. در حقیقت حاشیه نشینی معلولی کالبدی- فضایی ناشی از ساختار ناهنجار اقتصادی– اجتماعی و فرهنگی است، اما به آن همواره به صورت پدیده ای کالبدی توجه بیشتری شده و راه حل هایی کالبدی برای آن ارایه می شود. شماری سادگی ورود به گفتمان حاشیه نشینی را دلیل ساده بودن آن می پندارند و تصیور می کنند موضوع از ماهیت پیچیده ای برخوردار نیست، در حالی که واقعیت خلاف آن را ثابت می کند. حاشیه نشینی مقوله ای چند وجهی است که بر بستری از تعاملات حاصل از مولفه های متعدد بروز می کند. بنابراین ضرورت دارد نسبت به بررسی مناطق حاشیه نشین و بررسی ظرفیت های آن جهت برنامه ریزی برای حل مشکلات این مناطق اقدام شود. از این رو در طرح حاظر ضمن بررسی همه جانبه مناطق حاشیه نشین شهرهای استان گیلان، نسبت به شناسیایی ظرفیت های این مناطق اقدام و راهبردها و راهکارهای عملیاتی لازم پیشنهاد می شود.,اداره کل تعاون، کار و رفاه اجتماعی استان گیلان,علوم انسانی,['شهر، توانمندسازی، حاشیه نشینی، استان گیلان'],ایران,گیلان,رشت,
61,ساخت سرامیک های متخلخل,ساخت سرامیک های متخلخل بر پایه سیلیسیم کارباید (sic)، شاموتی، آلومینا یا سایر ترکیبات سرامیکی با تخلخل های باز و سایر حفرات میکرونی و نانویی,پارک علم و فناوری استان مرکزی,فنی و مهندسی,['سرامیک، متخلخل'],ایران,مرکزی,اراک,
62,مبدل حرارتی,مشخصات:,پارک علم و فناوری خوزستان,فنی و مهندسی,['مبدل حرارتی'],ایران,خوزستان,اهواز,
63,تعیین تغییرات مکانی نفوذ جبهه آب شور دریاچه ارومیه در منابع آب زیرزمینی و فرهنگ سازی بهره برداران به منظور تغییر الگوی کشت متناسب با کیفیت آب کشاورزی,در حالت طبیعی در نواحی ساحلی جریان آب زیرزمینی بر اساس شیب هیدرولیکی به طرف دریا حرکت می کند اما در صورت حفر چاه های ساحلی و استخراج آب شیرین احتمال دارد که حرکت آب های شیرین به طرف دریا قطع و جریان عکس یا حرکت آب شور به طرف نوار ساحلی اتفاق بیفتد. این پدیده سبب شوری آب های زیرزمینی ساحلی می گردد که اصطلاحاً تداخل آب های شور دریا با آب های شیرین (Intrusion) نامیده می شود در واقع از مهمترین منابع آلودگی آب های زیرزمینی در سواحل، آب شور دریا است.,سازمان جهاد کشاورزی استان آذربایجان غربی,"کشاورزی و منابع طبیعی, علوم و مهندسی آب, منابع آب",['جبهه آب شور- دریاچه ارومیه-الگوی کشت'],ایران,آذربایجان غربی,ارومیه,
64,فناوری ساخت پمپ تزریق نیتروژن,برای چاههای نفتی که با افت فشار مواجه هستند لازم است نیتروژن به بخار تبدیل شود و بافشار 1000 پی اس آی به چاه تزریق شود,مشاور توسعه فناوری شرکت شهرک های صنعتی خوزستان,,['پمپ نیتروژن'],,خوزستان,اهواز,گروه/های هدف:
65,چک ولو ایمنی,برای جلوگیری از برگشت شعله برای لنس 21.5 میلیمتر سکوی پاتیل,پارک علم و فناوری خوزستان,فنی و مهندسی,['چک ولو ایمنی'],ایران,خوزستان,اهواز,
66,بهینه سازی فرمولاسیون و تولید مکمل غذایی – دارویی ضد گاستروانتریت بر پایه گیاهان دارویی مزیت دار استان خراسان جنوبی,گیاهان دارویی، ظرفیت اقتصادی عظیم و با ارزش افزوده بسیار بالا در ایران محسوب می شوند و نقش موثر آنها در اقتصاد و ایجاد منابع درآمدزای پویا و عظیم به ویژه در مناطق کمتر توسعه یافته، غیرقابل انکار است. منطقه خراسان جنوبی غنی از گیاهان دارویی است که فرآوری علمی در صنعت داروسازی و تهیه داروهای گیاهی می تواند ارزش افزوده مناسبی را به ارمغان آورد. از طرف دیگر تاکید سازمان بهداشت جهانی در جایگزینی تدریجی مواد طبیعی به جای مواد شیمیایی موجب شده تا کشورهای مختلف جهان نسبت به سرمایه‌گذاری، برنامه‌ریزی، کشت و تولید انبوه گیاهان دارویی در سطوح صنعتی و استفاده از آن در صنایع دارویی، بهداشتی و غذایی اقدام کنند. چنین توجه و اقبالی به سوی گیاهان دارویی، کشت و تجارت آن را در جایگاه اقتصادی مناسبی قرار داده است.,سازمان جهادکشاورزی خراسان جنوبی,کشاورزی و منابع طبیعی,['گیاهان دارویی، مکمل غذایی، اختلالات گوارشی، التهاب معده و روده'],ایران,خراسان جنوبی,بیرجند,
67,امکان سنجی و سازماندهی مجدد فعالیتهای مرغداریها و گاوداریها در قالب الگوی کشاورزی قراردادی مبتنی بر IT Base,تعیین وضعیت  و بازنگری نحوه فعالیت گاوداری ها و  مرغداری های استان با توجه به جمعیت استان و نیاز به منبع پروتیین حیوانی به عنوان ماده مغذی حایز اهمیت ما را در تعیین برآورد دقیق تر تولیدات استان در راستای حفظ امنیت غذایی یاری خواهد نمود.  روند رو به رشد جمعیت و ضرورت تامین نیازهای غذایی ایجاب می کند بازار تولید ات در راستای بازار مصرف حرکت و با قیمت مناسب در اختیار مصرف کننده قرار گیرد و مبرهن است در شرایط کنونی بهبود بهره وری در واحدهای پرورش و هرگونه برنامه ریزی و تصمیم سازی در گرو داشتن اطلاعات به روز و دقیق عملیاتی خواهد شد و کشاورزی قراردادی می تواند به عنوان بخشی از فرآیند مسیر جهت تولید پایدار موثر باشد. لذا اجرای طرح پیشنهادی یاد شده می تواند پاسخگویی وضعیت تولید، عرضه محصولات و ساماندهی فعالیت واحدهای تولیدی می تواند مثمر ثمر باشد. برآوردهای آماری حاکی از این است که حدود 16 درصد از گاوداری های صنعتی و نیز 17 درصد از گاوهای اصیل کشور در استان تهران واقع شده و این استان پذیرای بیش از 13 میلیون نفر جمعیت انسانی می باشد. لذا این بازار بزرگ تولید و مصرف محصولات پروتیینی نیازمند استقرار ساز و کاری است که بتواند با حفظ استمرار و پایداری تولید، محصولات مرتبط با تولیدات دامی) اعم از گوشت قرمز و سفید( را چه به لحاظ کمی و چه از نظر کیفی به نحو مطلوب و با قیمت مناسب به دست مصرف کننده برساند. نظر به اینکه تشکیل زنجیره های تولید و تامین، نقش مهمی در فرآیند مزبور ایفا می نمایند و کشاورزی قراردادی می تواند به عنوان تکمیل کننده بخشی از حلقه های زنجیره نقش آفرینی نماید، لذا تحقیق در خصوص موضوع مذکور و چگونگی اجرای آن راهگشای پاسخگویی به مشکلات موجود خواهد بود.,سازمان جهاد کشاورزی استان تهران,"کشاورزی و منابع طبیعی, اقتصاد کشاورزی, اقتصاد تولید و مدیریت واحدهای کشاورزی",['فعالیت مرغداریها - فعالیت گاوداریها- کشاورزی قراردادی'],ایران,تهران,تهران,
68,راهکارهای افزایش وصول مطالبات و ترغیب مشترکین به پرداخت هزینهای برق مصرفی,انجام فعالیت های توسعه و بهره برداری شبکه های توزیع به طور مستقیم تحت تاثیر وصول مطالبات ناشی از فروش برق قرار دارد,شرکت توزیع نیروی برق استان ایلام,"فنی و مهندسی, مهندسی برق, سیستم های قدرت",['وصول مطالبات'],ایران,ایلام,ایلام,
69,بررسی ارقام مؤثر برتر داخلی و خارجی ژنوتیپ‌های منتخب استانی گردو و تولید پیوندک و برنامه‌ریزی ایجاد باغ مادری,خرید پایه بذری مناسب گردوی بذری به تعداد 400 اصله در بهمن 1401، تهیه پیوندک از ارقام و ژنوتیپ های منتخب در اسفند 1401 ، پیوند به روش چیپ بادینگ در اردیبهشت 1402 به تعداد 40 اصله از هر رقم، آماده سازی زمین در فروردین و اردیبهشت 1402 و اجرای سیستم آبیاری ، کشت نهالهای پیوندی در زمین اصلی در تیر ماه 1402 به صورت متراکم،  نگهداری تا آخر سال,اداره کل جهاد کشاورزی,کشاورزی و منابع طبیعی,['ژنوتیپ منتخب استانی،تولید پیوندک، باغ مادری'],ایران,چهارمحال وبختیاری,شهرکرد,
70,تعیین آنالیز علوفه های مرتعی و استفاده از ضایعات و پسماندهای صنایع تبدیلی و کشاورزی با رویکرد افزایش بهره وری تولید در گله های دام داشتی استان تهران,آنالیز علوفه های مرتعی،پسماند و ضایعات کشاورزی و صنایع تبدیلی،تعیین محدودیت های مصرف ،نحوه نگهداری،عمل آوری و ... موارد مذکور در جیره دام سبک داشتی عشایر استان تهران با هدف کاهش هزینه های تولید گوشت قرمز و همچنین کاهش نیاز نهاده های دام,مدیریت امور عشایر استان تهران,"کشاورزی و منابع طبیعی, علوم دامی, تغذیه دام",['آنالیز علوفه،ضایعات،پسماند،دام داشتی عشایر'],ایران,تهران,تهران,
71,طراحی و ساخت آنالایزر آنلاین گازهای H2S و SO2,آنالایزرهای آنلاین گازهای H2S و SO2 جز ملزومات لاینفک فرایند تصفیه گاز در پالایشگاه ها هستند که متاسفانه وارداتی به,شرکت پالایش گاز ایلام,فنی و مهندسی,['آنلایزر ساخت بار اول SO2'],ایران,ایلام,چوار,
72,تاثیر کلسیم بر آلیاژهای سرب-کلسیم,بررسی تاثیر افزایش یا کاهش کلسیم در آلیاژ سرب-کلسیم-قلع بر خواص آلیاژهای CRP و CRN با استفاده از روش DPE,پارک علم و فناوری استان مرکزی,فنی و مهندسی,['کلسیم، آلیاژ'],ایران,مرکزی,اراک,
73,اکسل عقب,مشخصات:,پارک علم و فناوری خوزستان,فنی و مهندسی,['اکسل عقب'],ایران,خوزستان,اهواز,
74,کاهش خاموشی ها در شبکه های توزیع,کاهش خاموشی های با برنامه و بی برنامه و کاهش انرژی توزیع نشده از اهداف شرکت توزیع نیروی برق استان ایلام است,شرکت توزیع نیروی برق استان ایلام,"فنی و مهندسی, مهندسی برق, سیستم های قدرت",['کاهش خاموشی انرژی توزیع نشده'],ایران,ایلام,ایلام,
75,بازیافت لجن تولیدی از فرایند احیاء,لجن فرایند احیاء حاوی ترکیبات ارزشمند آهن و سایر فلزی سنگین می‌باشد. بازیابی لجن فرایند احیاء به چرخه تولید از ارزش افزوده بالایی برخوردار است. از سوی دیگر دفع آن پیامدهای زیست محیطی ناشی از نفوذ یون فلزات سنگین به خاک و آب‌های زیر سطحی را به همراه دارد. به همین  دلیل بازیابی لجن فرایند احیاء و بازیافت صنعتی آن در کارخانجات فولادسازی لازم و ضروری می باشد.,پارک علم و فناوری خوزستان,فنی و مهندسی,['بازیافت، لجن احیا'],ایران,خوزستان,اهواز,
76,درایو 1 مگاوات,کشور سازنده و صاحب فناوری آلمان بوده و میزان ارزبری سالانه حدود یکصدو پنجاه هزار دلار می باشد,پارک علم و فناوری خوزستان,فنی و مهندسی,['درایو1مگاوات'],ایران,خوزستان,بندرماهشهر,
77,تجهیز دستگاه ادورایزر به مدار کنترلی,در زمان بسته بودن شیر خروجی و یا خالی شدن خط  از گاز سیستم  ادورایز بصورت خودکار از سرویس خارج گردد,شرکت گاز استان خوزستان,فنی و مهندسی,['ادورایزر'],ایران,خوزستان,اهواز,
78,کنترل و مبارزه با آفت کنه در باغات مرکبات و نخیلات,تعداد زیادی از کنه ها گیاه خوار بوده و تعدادی از گونه های گیاهخوار در محیط های انباری از غلات و خشکبار تغذیه می کنند. کنه های گیاهی دارای قطعات دهانی برنده و مکنده اند به این ترتیب که زمان تغذیه ابتدا بافت گیاه را پاره کرده و پس از خروج شیره گیاهی آن را می مکند. در این حالت مقداری از آب گیاه از محل پاره شدن تبخیر می شود و به این علت برگها و میوه ها به شدت می ریزند.,پارک علم و فناوری استان مرکزی,کشاورزی و منابع طبیعی,['آفات، کنترل'],ایران,مرکزی,اراک,
79,امکان سنجی استقرار طرح امن سازی زیرساخت‌های حیاتی در دستگاه‌های اجرایی استان خراسان جنوبی و شناسایی علل و عوامل موثر بر ارتقاء امنیت سایبری (فاز اول),با عنایت به تاثیر روزافزون فضای مجازی در ارایه خدمات سازمان‌های دولتی و همچنین مخاطرات و تهدیدات آن، ضرورت دارد به منظور صیانت از اطلاعات و سرویس‌ها در برابر تهدیدات احتمالی، اقدامات پیشگیرانه و مقابله‌ای برای ارتقاء سطح امنیت زیرساخت‌های کشور مدنظر قرار گیرد. در جمهوری اسلامی ایران نیز به منظور ایفای نقش حاکمیت در تامین امنیت این حوزه و حفظ زیرساخت‌های حیاتی کشور در مقابل حملات سایبری، مرکز مدیریت راهبردی افتای ریاست جمهوری تشکیل شده و ماموریت یافته است در تعامل با دستگاه‌های ذیربط، نسبت به امن‌سازی دستگاه‌های زیرساختی کشور اقدام نماید. به همین منظور «طرح امن‌سازی زیرساخت‌های حیاتی در قبال حملات سایبری» توسط این مرکز تدوین و به تمامی دستگاه‌های زیرساختی کشور ابلاغ شده است. یکی از اهداف تدوین و ابلاغ «طرح امن‌سازی زیرساخت های حیاتی در قبال حملات سایبری»، تامین امنیت فضای تولید و تبادل اطلاعات سازمان، مدیریت مخاطرات و جلوگیری از بروز اختلال در ارایه سرویس‌های حیاتی است. از زمان ابلاغ طرح امن‌سازی افتا تاکنون، مشکلات و موانع متعددی مانع از اجرای موثر طرح مذکور در دستگاه‌های زیرساختی استان شده است و ارتقاء امنیت سایبری و رسیدن به وضعیت مطلوب امنیتی را به تعویق انداخته است. تنوع و تعدد دلایل تاثیرگذار بر تعویق اجرای طرح امن‌سازی و ارتقاء امنیت سایبری زیرساخت‌های استان، موجب شده است بررسی تخصصی و علمی دلایل و عوامل تاثیرگذار بر امنیت سایبری دستگاه‌های زیرساختی از میان دستگاه‌های دارای اولویت در دستور کار قرار گیرد تا پس از احصاء عوامل تاثیرگذار بر امنیت سایبری سازمان‌ها و شناسایی موانع و مشکلات، با استفاده از ظرفیت‌های موجود، نسبت به رفع موانع شناسایی شده اقدام گردد.,استانداری خراسان جنوبی,"فنی و مهندسی, مهندسی فناوری اطلاعات, مهندسی فناوری اطلاعات و امنیت, مهندسی کامپیوتر",['طرح امن سازی، زیرساخت\u200cهای حیاتی، افتا، امکان سنجی، عارضه یابی'],ایران,خراسان جنوبی,بیرجند,گروه/های هدف:
80,طراحی و ساخت دستگاه تعیین دقیق محل گرفتگی خطوط لوله های گاز,خطوط گاز بصورت زیرزمینی کشیده می شوند و پیدا کردن قسمتی که دچار گرفتگی شده است هزینه بر خواهد بود و بهمین دلیل ساخت دستگاهی جهت پیدا کردن مکان دقیق گرفتگی سهولت و تسریع  در انجام تعمیرات خطوط را به همراه خواهد داشت و هزینه ها را به شدت کاهش خواهد داد,شرکت گاز استان خوزستان,فنی و مهندسی,['خطوط لوله،'],ایران,خوزستان,اهواز,
81,درایو موتور DC استند 1و 3 خط630,درایو موتور نوردDC 1200 کیلووات با نوع تحریک فیلد مستقل ، ویژگی ها: دقت بالا –حساسیت بالا-عملکرد مناسب در نوسانات برقی-حفاظت,گروه ملی صنایع فولاد,,['درایو موتور Dc'],,خوزستان,اهواز,گروه/های هدف:
82,موتور ویبره مگنتی مدل K220,موتورهای ویبره مگنت زیر مخازن و هاپرهای واحد اسفنجی که برای تخلیه مواد مورد استفاده قرار میگیرد,گروه ملی صنایع فولاد,,['موتور ویبره مگنتی'],,خوزستان,اهواز,گروه/های هدف:
83,سامانه تشخیص اتوماتیک عیوب با استفاده از هوش مصنوعی,تشخیص عیوب با کمک سامانه های بینایی ماشین میتواند در افزایش کارایی و اتوماتیک شدن مقوله بررسی عیوب شمش بسیار تاثیرگذار و کارآمد باشد,پارک علم و فناوری خوزستان,فنی و مهندسی,['هوشمندسازی، عیوب شمش'],ایران,خوزستان,اهواز,
84,اماده سازی کودکان مراکز شبانه روزی برای زندگی مستقل,هدف پژوهش حاضر بررسی بررسی اثر بخشی آموزش برنامه اماده سازی بر روی بهزیستی,اداره کل بهزیستی استان گلستان,علوم انسانی,['کودکان، شبانه روزی، بهزیستی'],ایران,گلستان,گرگان,
85,استخراج و تولید صنعتی کلاژن، ژلاتین و امگا3,استخراج و تولید صنعتی کلاژن، ژلاتین و امگا3  از ضایعات خط تولید کنسرو ماهی,پارک علم و فناوری استان مرکزی,کشاورزی و منابع طبیعی,['ژلاتین، کلاژن'],ایران,مرکزی,اراک,
86,دستگاه پایش ارتعاشات,وجود ارتعاشات در تجهیزات دوار موجب آسیب به آنها و سایر تجهیزات می شود.,گروه ملی صنایع فولاد,,['پایش ارتعاشات'],,خوزستان,اهواز,گروه/های هدف:
87,تعیین توزیع مکانی و زمانی مخاطرات جوی و اقلیمی استان تهران و ارایه برنامه جامع مدل سازی تاب آوری استان در برابر مخاطرات جوی و پهنه بندی خطرپذیری,در این پروژه به کمک روش های آماری داده های هواشناسی ایستگاه های هواشناسی سینوپتیک استان تهران و نیز دیگر داده ها و اطلاعات کمکی دریافت شده از مراکز و دستگاه های اجرایی مختلف مورد ارزیابی و تحلیل قرار می گیرد. همچنین با توجه به معیارهای مشخص مربوط به هر کمیت و پدیده های هواشناسی، مخاطرات مربوط به هر شهرستان تعیین می شوند. سپس توزیع زمانی وقوع مخاطرات در بازه زمانی مورد مطالعه (دوره آماری موجود برای هر ایستگاه)  و نیز توزیع مکانی در سطح استان مورد ارزیابی و مطالعه قرار می گیرد. به کمک این اطلاعات اطلس بلایای جوی استان تهران تهیه می شود. تعیین فراوانی وقوع، تعیین توزیع زمانی (سالانه ، فصلی و ماهانه) وقوع هر یک از مخاطره ها، تعیین توزیع مکانی هر یک از مخاطره ها (بصورت شهرستانی و متناسب با آمار ایستگاه ها)، تحلیل سینوپتیکی مخاطرات بصورت موردی و الگوی وقوع آنها از مواردی است که باید در این پروژه انجام شود و روش کلی بر پایه بهره گیری از آمار و روش های توصیفی و تحلیلی برای بررسی های آماری متناسب با نیاز است. همچنین جهت بررسی تاب‌آوری استان تهران در برابر مخاطرات، انجام مطالعات پایه تفصیلی و تعیین روش ها و راهکارهای افزایش تاب آوری، پهنه بندی مخاطرات آب و هواشناسی در سطح استان، تعیین مناطق خطر و بحرانی برای مخاطرات مختلف، تعیین میزان پایداری و تاباوری زیرساخت ها متناسب با نوع مخاطره، ارایه سناریوهای مختلف با توجه به آستانه خطر و راه کارهای پیشگیری و یا کاهش آثار مخاطرات جوی بر زیرساخت ها در محدوده مورد مطالعه، مدل‌سازی مفهومی و تجربی تاب آوری با توجه به نوع مخاطره هواشناسی در این پژوهش مورد نظر می باشد.,اداره کل هواشناسی استان تهران,"علوم پایه, هواشناسی",['توزیع مکانی و زمانی، مخاطرات جوی، پهنه بندی، تاب آوری'],ایران,تهران,تهران,
88,ساخت تیغ اره گرم بر,(تیغ اره گرم بر),گروه ملی صنایع فولاد,,['ساخت تیغ اره گرم بر'],,خوزستان,اهواز,گروه/های هدف:
89,امکان سنجی استفاده از iot در شبکه گاز استان مرکزی,"بررسی روش های پایش خوردگی در تجهیزات صنعت گاز مبتنی بر IOT ,و امکان سنجی به کر گیری انها در مانیتورینگ خوردگی تجهیزات",شرکت گاز استان مرکزی,فنی و مهندسی,['گاز، IOT'],ایران,مرکزی,اراک,
90,دستگاه جوش هوشمند,تولید و ساخت دستگاه جوش هوشمند ( دستگاهی که داخل لوله برود و با تعیین موقعیت صحیح جوشکاری را بدرستی انجام دهد (ربات جوش کاری)),نام آوران به کوش ویستا,فنی و مهندسی,['هوشمند، دستگاه'],ایران,مرکزی,اراک,
91,فناوری طراحی و روش ساخت دستگاه پرینتر سه بعدی,متقاضی فناوری طراحی و روش ساخت دستگاه پرینتر سه بعدی برای مدل های ماهیچه دار ریخته گری  که مدل هایی از جنس سیلیکا را با یک بایندر خشک پرینت نماید,مشاور توسعه فناوری شرکت شهرک های صنعتی خوزستان,,['پرینتر سه بعدی'],,خوزستان,اهواز,گروه/های هدف:
92,پیشگیری ، کنترل و مبارزه با شته کلزا,شته مومی کلزا یکی از مهم ترین آفات کلزا و دیگر گیاهان خانواده کلمیان می‌باشد. در ایران چهار گونه شته به مزارع کلزا خسارت وارد می نماید. که در میان آنها شته مومی کلم گونه غالب و آفت کلیدی کلزا می باشد. خسارت شـته مـومی بـه کلـزا باعـث کاهش میزان بذر از 9 تا 77 درصد و میزان روغن تا 11 درصد شده است.,پارک علم و فناوری استان مرکزی,کشاورزی و منابع طبیعی,['آفات، کنترل'],ایران,مرکزی,اراک,
93,آسیب شناسی و ارایه الگوی نوین خدمات مشاوره ای و مددکاری در زندان های استان تهران,در درمان هر عارضه و بیماری اعتقاد بر آن است که نصف فرایند درمان را می بایست در تشخیص(شناخت اسباب پیدایی مشکل وبیماری)جستجو نمود، از این رو در بحث آسیب شناسی وضعیت مددکاری اجتماعی در سازمان زندان ها با مطالعه و مداقه در عوامل ، موانع و چالش های فرا روی آن و تلاش جهت کنترل و رفع این نابسامانی ها گام هایی مؤثر جهت بهبود وضعیت این حرفه برداشت لیکن آنچه مهم به نظر می رسد آن است که با تکیه بر تجارب گذشته این حرکت ها نمی بایست صرفاً در حد برگزاری همایش و به  شکل مقطعی و گذرا باشد، در کشوری که ادعای آن زندانبانی اسلامی و اصلاح فرد است و با نگاهی به تاریخچه علم مددکاری اجتماعی در ایران و جهان مشخص می گردد که اصول اساسی آن کاملاً بر گرفته از تعالیم و اخلاق اسلامی است، بر همه مسیولین ، مدیران و سیاست گزاران این حوزه شغلی در گستره و سعی تغییر نگرش و تجدید نظر در ساختار ادارای مددکاری ، دقت در پذیرش و گزینش داوطلبان این حرفه از حیث تخصص همراه تعهد ، ارتقای سطح نرم افزاری و سخت افزاری مددکاری از یک سو ، ترتیب نشست های تخصصی قضات و مددکاران ، آموزش ضمن خدمت قضات و کارکنان دستگاه قضایی به منظور آشنایی با ضرورت ، اهداف و شرح وظایف مددکاری در زندان از سوی دیگر ، انجام تحقیقات میدانی با استفاده از روش علمی تحقیق چون زمینه یابی ، اقدام پژوهشی و....  بایسته  است کمر همت بندند که در این مسیر مددکاران اجتماعی زندان ها نیز می بایست تمام سعی خود را با جدیت بیشتر از بیش بکار گیرند و با پایبندی به منشور اخلاقی این حرفه بدون خستگی در مقابل موانع ثابت قدم و استوار بمانند.,اداره کل زندانهای استان تهران,"علوم انسانی, مددکاری اجتماعی",['آسیب شناسی ،خدمات مشاوره ای ، مددکاری ، زندان'],ایران,تهران,تهران,گروه/های هدف:
